Encoding,Task,Index Mode,Qubits,Shots,Task Time (ms),Success / Main Metric,Circuit Depth,Gate Count,Notes
Amplitude,Swap-test similarity,feature_vector,5,2048,105.81,absolute error: 0.014,5,7,Index-mode independent feature-vector task; swap-test estimate compar...
Basis,Exact triple lookup,sequential,3,2048,99.5,success probability: 0.947,21,43,sequential-only validation task: compact 3-qubit/8-state Grover-style...
Combined,Amplitude-phase demo,paper,8,0,0.27,state norm: 1,,,Uses paper index mode; combined alpha_k exp(i theta_k) demonstration...
Phase,Predicate filtering,paper,8,2048,106.97,marked probability after: 0.03,13,52,Uses paper index mode; predicate sign-flip followed by diffuser-style...
