dataset_category,dataset_name,dataset_path,dataset_size,num_triples,num_entities,num_predicates,encoding,repetition,success,status,error_message,total_runtime,rdf_parse_time,id_mapping_time,state_preparation_time,circuit_construction_time,simulation_time,measurement_time,qubits,circuit_depth,gate_count,operation_counts,logical_circuit_depth,logical_gate_count,logical_operation_counts,decomposed_circuit_depth,decomposed_gate_count,decomposed_operation_counts,transpiled_circuit_depth,transpiled_gate_count,transpiled_operation_counts,metric_status,metric_error,shots,backend,started_at_utc,finished_at_utc,entity_bit_width,predicate_bit_width,measurement_circuit_preparation_time,decoding_time,completed_total_runtime,phase_marker_mode,phase_requested_predicate,phase_effective_predicate,phase_marked_triples,phase_total_triples,phase_marked_fraction,phase_warning,max_basis_simulation_qubits,max_phase_diagonal_qubits,max_metric_qubits,timeout_seconds,weight_strategy,phase_mark_predicate,phase_angle,decompose_reps,compute_decomposed_metrics,compute_transpiled_metrics,rdf_format
real,exampleV3,data\real_kgs\exampleV3.ttl,129,129,71,16,phase,1,True,success,,1.085503,0.0069722,0.0003141,0.0020619,0.034448,0.0515287,0.003211,8,3,10,"{""h"": 8, ""initialize"": 1, ""unitary"": 1}",3,10,"{""h"": 8, ""initialize"": 1, ""unitary"": 1}",971,1045,"{""cx"": 770, ""reset"": 8, ""rz"": 252, ""state_preparation"": 1, ""u"": 14}",979,1066,"{""cx"": 777, ""reset"": 8, ""u"": 281}",success,,1024,Qiskit Statevector,2026-05-20T13:53:25+00:00,2026-05-20T13:53:26+00:00,7,4,0.0,3.38e-05,1.085503,most-common-predicate,,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,59,129,0.457364341,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
real,exampleV3,data\real_kgs\exampleV3.ttl,129,129,71,16,phase,2,True,success,,1.0788323,0.0071079,0.0005519,0.0022332,0.0348625,0.0528838,0.003003,8,3,10,"{""h"": 8, ""initialize"": 1, ""unitary"": 1}",3,10,"{""h"": 8, ""initialize"": 1, ""unitary"": 1}",971,1045,"{""cx"": 770, ""reset"": 8, ""rz"": 252, ""state_preparation"": 1, ""u"": 14}",979,1066,"{""cx"": 777, ""reset"": 8, ""u"": 281}",success,,1024,Qiskit Statevector,2026-05-20T13:53:27+00:00,2026-05-20T13:53:28+00:00,7,4,0.0,3.42e-05,1.0788323,most-common-predicate,,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,59,129,0.457364341,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
real,exampleV3,data\real_kgs\exampleV3.ttl,129,129,71,16,phase,3,True,success,,1.0811036,0.0073276,0.0003837,0.0022311,0.0399259,0.0602573,0.0031305,8,3,10,"{""h"": 8, ""initialize"": 1, ""unitary"": 1}",3,10,"{""h"": 8, ""initialize"": 1, ""unitary"": 1}",971,1045,"{""cx"": 770, ""reset"": 8, ""rz"": 252, ""state_preparation"": 1, ""u"": 14}",979,1066,"{""cx"": 777, ""reset"": 8, ""u"": 281}",success,,1024,Qiskit Statevector,2026-05-20T13:53:29+00:00,2026-05-20T13:53:30+00:00,7,4,0.0,3.39e-05,1.0811036,most-common-predicate,,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,59,129,0.457364341,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
real,exampleV3,data\real_kgs\exampleV3.ttl,129,129,71,16,phase,4,True,success,,1.1653004,0.0072501,0.0003164,0.0026548,0.0349986,0.0513095,0.0030294,8,3,10,"{""h"": 8, ""initialize"": 1, ""unitary"": 1}",3,10,"{""h"": 8, ""initialize"": 1, ""unitary"": 1}",971,1045,"{""cx"": 770, ""reset"": 8, ""rz"": 252, ""state_preparation"": 1, ""u"": 14}",979,1066,"{""cx"": 777, ""reset"": 8, ""u"": 281}",success,,1024,Qiskit Statevector,2026-05-20T13:53:31+00:00,2026-05-20T13:53:32+00:00,7,4,0.0,3.2e-05,1.1653004,most-common-predicate,,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,59,129,0.457364341,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
real,exampleV3,data\real_kgs\exampleV3.ttl,129,129,71,16,phase,5,True,success,,1.0380466,0.0064426,0.0003693,0.0018239,0.0328112,0.050238,0.0031826,8,3,10,"{""h"": 8, ""initialize"": 1, ""unitary"": 1}",3,10,"{""h"": 8, ""initialize"": 1, ""unitary"": 1}",971,1045,"{""cx"": 770, ""reset"": 8, ""rz"": 252, ""state_preparation"": 1, ""u"": 14}",979,1066,"{""cx"": 777, ""reset"": 8, ""u"": 281}",success,,1024,Qiskit Statevector,2026-05-20T13:53:33+00:00,2026-05-20T13:53:34+00:00,7,4,0.0,3.26e-05,1.0380466,most-common-predicate,,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,59,129,0.457364341,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
real,productsSmall,data\real_kgs\productsSmall.rdf,129,129,71,16,basis,1,True,success,,2.8309012,0.009654,0.0002678,0.0005367,0.1696721,0.0055663,2.6431318,18,1,1,"{""initialize"": 1}",1,1,"{""initialize"": 1}",,,,,,,metric_limit,Decomposed metrics skipped because the circuit has 18 qubits and --max-metric-qubits is 14.; Transpiled metrics skipped because the circuit has 18 qubits and --max-metric-qubits is 14.,1024,Qiskit Statevector,2026-05-20T13:53:35+00:00,2026-05-20T13:53:38+00:00,7,4,0.0,1.78e-05,2.8309012,,,,,,,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
real,productsSmall,data\real_kgs\productsSmall.rdf,129,129,71,16,basis,2,True,success,,2.7742359,0.0090942,0.0003116,0.0003722,0.17596,0.0054845,2.5811383,18,1,1,"{""initialize"": 1}",1,1,"{""initialize"": 1}",,,,,,,metric_limit,Decomposed metrics skipped because the circuit has 18 qubits and --max-metric-qubits is 14.; Transpiled metrics skipped because the circuit has 18 qubits and --max-metric-qubits is 14.,1024,Qiskit Statevector,2026-05-20T13:53:39+00:00,2026-05-20T13:53:42+00:00,7,4,0.0,1.69e-05,2.7742359,,,,,,,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
real,productsSmall,data\real_kgs\productsSmall.rdf,129,129,71,16,basis,3,True,success,,2.8411748,0.0089878,0.0002699,0.0003696,0.1797278,0.006252,2.6431122,18,1,1,"{""initialize"": 1}",1,1,"{""initialize"": 1}",,,,,,,metric_limit,Decomposed metrics skipped because the circuit has 18 qubits and --max-metric-qubits is 14.; Transpiled metrics skipped because the circuit has 18 qubits and --max-metric-qubits is 14.,1024,Qiskit Statevector,2026-05-20T13:53:43+00:00,2026-05-20T13:53:46+00:00,7,4,0.0,1.79e-05,2.8411748,,,,,,,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
real,productsSmall,data\real_kgs\productsSmall.rdf,129,129,71,16,basis,4,True,success,,2.7972025,0.0091138,0.0002753,0.0003676,0.1721428,0.0061194,2.6072541,18,1,1,"{""initialize"": 1}",1,1,"{""initialize"": 1}",,,,,,,metric_limit,Decomposed metrics skipped because the circuit has 18 qubits and --max-metric-qubits is 14.; Transpiled metrics skipped because the circuit has 18 qubits and --max-metric-qubits is 14.,1024,Qiskit Statevector,2026-05-20T13:53:47+00:00,2026-05-20T13:53:50+00:00,7,4,0.0,1.76e-05,2.7972025,,,,,,,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
real,productsSmall,data\real_kgs\productsSmall.rdf,129,129,71,16,basis,5,True,success,,2.8208849,0.0089098,0.0002822,0.0003655,0.1702221,0.0054019,2.6336396,18,1,1,"{""initialize"": 1}",1,1,"{""initialize"": 1}",,,,,,,metric_limit,Decomposed metrics skipped because the circuit has 18 qubits and --max-metric-qubits is 14.; Transpiled metrics skipped because the circuit has 18 qubits and --max-metric-qubits is 14.,1024,Qiskit Statevector,2026-05-20T13:53:51+00:00,2026-05-20T13:53:53+00:00,7,4,0.0,1.79e-05,2.8208849,,,,,,,,22,10,14,600.0,uniform,,3.141592653589793,1,True,True,
